barcode ,,row ,tiller count,gs39,   gs55,GS65,flag leaf senescence,plant wt,stem ht,top internodeL,tiller no,1? earLength,2nd ear L,3rd ear L,1?fg lf L,1?ear wt,other ear wt,disease_score1,disease_score2
W8-080112,MEL 066-1a,G6,>,139,150,160,193,74,55,30.5,22,10,10,10,26,2.70,33.2,1,1
W8-081111,MEL 070-1a,D2,>,120,127,136,158,74,48,24,26,11.5,11,11,33.5,3.43,44.6,1,1
W8-081112,MEL 070-1a,G5,<,125,133,145,171,82,53,28.5,19,11.5,11.5,11.5,35,4.07,37.5,0,0
W8-082111,MEL 071-1a,E3,>,127,139,147,166,98,66.5,34,23,12,12.5,11.5,35,3.65,47.7,2,2
W8-082112,MEL 071-1a,B7,>,127,133,143,150,86,64,35,19,12,12,12,38,3.71,42.2,2,3
W8-083111,MEL 072-1a,D2,<,139,153,160,199,63,50.5,28.5,20,13.5,12.5,12,23,3.65,34.8,0,0
W8-083112,MEL 072-1a,G5,<,132,143,152,166,66,60.5,29,18,11,11,10.5,32,4.45,35.9,1,2
W8-084111,MEL 073-1,G3,>,137,147,158,189,86,53.5,23,19,13,12,12,32,4.19,35.5,3,2
W8-084112,MEL 073-1,C7,>,130,140,150,171,98,57,25.5,21,13,12.5,11.5,30.5,4.44,45.8,3,2
W8-085111,MEL 074-1,E1,12,130,144,150,175,76,52.5,28.5,18,11,9.5,10,34,4.03,40.7,1,1
W8-085112,MEL 074-1,A5,>,130,143,145,158,58,49,27.5,27,9.5,9,9.5,28,2.03,28.0,0,0
W8-086111,MEL 075-1a,F3,<,132,143,145,178,58,51.5,27.5,15,12,11,11.5,29.5,3.54,31.7,0,1
W8-086112,MEL 075-1a,C7,>,125,129,136,152,74,45.5,28.5,18,11.5,11.5,11.5,33,4.22,43.8,2,2
W8-087111,MEL 076-1c,C4,>,125,133,143,158,76,50.5,28,22,11.5,10,11,38.5,3.64,41.8,2,2
W8-087112,MEL 076-1c,F7,>,127,136,145,160,74,56,29,20,11.5,10,11,38,4.21,40.4,1,2
W8-088111,MEL 077-3,A3,>,127,134,143,180,66,50.5,30,16,10,9.5,8.5,38,3.91,34.2,1,1
W8-088112,MEL 077-3,D6,>,134,143,154,193,82,64.5,31,17,14.5,13.5,13,18,4.19,39.8,0,1
W8-089111,MEL 078-1bA,D2,>,130,134,143,160,78,47.5,28.5,15,12.5,12,12.5,40.5,4.10,43.2,2,2
W8-089112,MEL 078-1bA,A6,>,125,133,158,166,60,47,29.5,15,12,11,12,44,2.87,31.6,2,1
W8-090111,MEL 081-1a,G1,10,132,148,171,180,88,48,23,22,8.5,10,9,27.5,1.08,41.9,0,0
W8-090112,MEL 081-1a,C5,>,127,136,158,166,100,82,45,15,12,11,12.5,36.5,4.68,46.8,1,1
W8-091111,MEL 082-1a,C2,>,120,132,138,166,110,79,36.5,16,12,12,13,31.5,6.14,57.3,1,1
W8-091112,MEL 082-1a,F5,>,127,138,147,171,108,87.5,36,15,12,12,12.5,30,6.62,53.4,2,2
W8-092111,MEL 083-1,F3,<,125,133,150,178,82,63,29,16,10.5,10,11,31,5.58,45.9,1,0
W8-092112,MEL 083-1,B7,>,120,129,136,158,82,52,25,17,10.5,10.5,11,35.5,4.90,47.5,2,2
W8-093111,MEL 084-1,A4,<,125,133,140,175,60,43,26,15,9.5,8.5,8.5,35.5,3.70,35.5,2,2
W8-093112,MEL 084-1,E7,>,123,129,136,166,70,44,25,17,10,9.5,9,33.5,4.17,39.4,0,1
