idtag	 timestamp	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
W8-066111	 2015-01-17	1708	106	0	0	8	17	0	0	0	0	0	0	0	0	0	0	363	3	0	0	5	966	0	0	0	38	994	22	0	0	0	34	14	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	72	0	0	0	53	427	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	336	1	0	0	48	1	0	0	1204796	2044	2740	483	362	88	4	0	0
W8-078111	 2015-01-17	2921	92	0	0	43	22	0	0	0	0	0	0	0	0	0	0	748	1	0	0	3	1135	0	0	0	159	1471	24	0	0	0	112	18	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	110	0	0	0	176	794	2	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	580	1	0	0	53	0	0	0	1198319	3797	3751	640	498	203	16	0	0
W8-032111	 2015-01-17	1825	82	0	0	6	9	0	0	0	0	0	0	0	0	0	0	551	2	0	0	2	875	0	0	0	25	943	11	0	0	0	53	14	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	75	0	0	0	113	569	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	19	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	288	0	0	0	18	0	0	0	1204538	1856	2915	433	367	120	12	0	0
W8-204111	 2015-01-17	1268	53	0	0	9	4	0	0	0	0	0	0	0	0	0	0	361	4	0	0	5	712	0	0	0	42	767	6	0	0	1	37	2	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	56	0	0	0	115	495	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	12	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	231	0	0	0	14	0	0	0	1206608	1799	2421	328	251	120	9	0	0
W8-114111	 2015-01-17	2285	84	0	0	9	14	0	0	0	0	0	0	0	0	0	0	597	1	0	0	8	793	0	0	0	52	892	13	0	0	0	47	13	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	53	0	0	0	86	537	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	574	1	0	0	34	0	0	0	1202590	3298	2902	352	314	144	12	0	0
W8-028111	 2015-01-17	1213	51	0	0	33	17	0	0	0	2	0	0	0	0	0	0	286	0	0	0	4	668	0	0	0	175	1255	12	0	0	0	75	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	62	0	0	0	152	570	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	50	0	0	0	1205897	1506	2513	458	424	153	11	0	0
W8-207111	 2015-01-17	2211	109	0	0	19	12	0	0	0	0	0	0	0	0	0	0	526	1	0	0	0	939	0	0	0	69	1101	15	0	0	1	52	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	95	0	0	0	79	461	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	0	0	0	2	0	0	0	1202918	2541	3176	487	379	116	10	0	0
W8-097111	 2015-01-17	1862	50	0	0	0	1	0	0	0	0	0	0	0	0	0	0	595	5	0	0	3	407	0	0	0	12	414	10	0	0	0	6	8	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	39	0	0	0	43	242	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	453	0	0	0	17	0	0	0	1206742	2589	1762	228	165	55	10	0	0
W8-068111	 2015-01-17	1224	47	0	0	6	6	0	0	0	0	0	0	0	0	0	0	304	0	0	0	6	472	0	0	0	55	609	17	0	0	0	21	9	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	45	0	0	0	93	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	205	0	0	0	27	0	0	0	1208076	1728	1879	276	211	92	0	0	0
W8-061111	 2015-01-17	1618	59	0	0	7	1	0	0	0	0	0	0	0	0	0	0	535	3	0	0	23	563	0	0	0	22	660	14	0	0	0	27	12	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	81	0	0	0	62	440	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	392	0	0	0	42	0	0	0	1205324	2944	2188	302	242	142	11	0	0
