,,SSD,SSD,pots,Field  2010-11,Field 2011-12,,,Field 2012-13,,Field 2013-14,,
Gen 0=8-way F1,8-way F1 plant,F1 to F2,F2 to F3,F3 to F4,F4 to F5 nursery,F5 to F6 nursery,YT Reps,728 SNP 90k,F6 to F7 nursery,YT reps,F7 to F8 nursery,YT reps,
MEL 014-6,8MEL-1014-06,MEL 014-6,MEL 014-6,MEL 014-6,MEL 014-6,stop dwarf,,,,,,,
MEL 014-7,8MEL-1014-07,MEL 014-7,MEL 014-7,MEL 014-7,MEL 014-7,MEL 014-7,1,1-D-8,MEL 014-7,2,MEL 014-7,2,
MEL 014-8,8MEL-1014-08,MEL 014-8,MEL 014-8,MEL 014-8,MEL 014-8,MEL 014-8,2,1-D-9,MEL 014-8,2,MEL 014-8,2,
MEL 015-1,8MEL-1015-01,MEL 015-1,MEL 015-1,,,,,,,,,,
MEL 015-2,8MEL-1015-02,MEL 015-2,MEL 015-2,MEL 015-2,MEL 015-2,MEL 015-2,2,1-D-10,MEL 015-2,2,MEL 015-2,2,
MEL 015-3,8MEL-1015-03,MEL 015-3,MEL 015-3,MEL 015-3,MEL 015-3,MEL 015-3,2,1-D-11,MEL 015-3,2,MEL 015-3,2,
MEL 015-4,8MEL-1015-04,MEL 015-4,MEL 015-4,MEL 015-4,MEL 015-4,MEL 015-4,0,,MEL 015-4,0,MEL 015-4,0,
MEL 015-5,8MEL-1015-05,MEL 015-5,MEL 015-5,,,,,,,,,,
MEL 015-6,8MEL-1015-06,MEL 015-6,,,,,,,,,,,
MEL 015-7,8MEL-1015-07,MEL 015-7,MEL 015-7,MEL 015-7,MEL 015-7,MEL 015-7,2,1-D-12,MEL 015-7,2,MEL 015-7,2,
MEL 015-8,8MEL-1015-08,MEL 015-8,MEL 015-8,MEL 015-8,MEL 015-8,MEL 015-8,2,1-E-1,MEL 015-8,2,MEL 015-8,2,
MEL 016-1,8MEL-1016-01,MEL 016-1,MEL 016-1,MEL 016-1,MEL 016-1,MEL 016-1,2,1-E-2,MEL 016-1,2,MEL 016-1,2,
MEL 016-2,8MEL-1016-02,MEL 016-2,MEL 016-2,MEL 016-2,,,,,,,,,
MEL 016-3,8MEL-1016-03,MEL 016-3,MEL 016-3,MEL 016-3,MEL 016-3,MEL 016-3,0,,MEL 016-3,0,MEL 016-3,0,
MEL 016-4,8MEL-1016-04,MEL 016-4,MEL 016-4,MEL 016-4,MEL 016-4,MEL 016-4,2,1-E-3,MEL 016-4,2,MEL 016-4,2,
MEL 016-5,8MEL-1016-05,MEL 016-5,MEL 016-5,MEL 016-5,MEL 016-5,MEL 016-5,,,MEL 016-5,0,MEL 016-5,0,
MEL 016-6,8MEL-1016-06,MEL 016-6,MEL 016-6,MEL 016-6,MEL 016-6,MEL 016-6,2,1-E-4,MEL 016-6,2,MEL 016-6,2,
MEL 016-7,8MEL-1016-07,MEL 016-7,MEL 016-7,MEL 016-7,MEL 016-7,MEL 016-7,2,1-E-5,MEL 016-7,2,MEL 016-7,2,
MEL 016-8,8MEL-1016-08,MEL 016-8,MEL 016-8,,,,,,,,,,
MEL 017-1,8MEL-1017-01,MEL 017-1,MEL 017-1,,,,,,,,,,
MEL 017-2,8MEL-1017-02,MEL 017-2,MEL 017-2,MEL 017-2,MEL 017-2,MEL 017-2,0,,MEL 017-2,0,MEL 017-2,0,
MEL 017-3,8MEL-1017-03,MEL 017-3,MEL 017-3,MEL 017-3,MEL 017-3,MEL 017-3,2,1-E-6,MEL 017-3,2,MEL 017-3,2,
MEL 017-4,8MEL-1017-04,MEL 017-4,MEL 017-4,MEL 017-4,MEL 017-4,MEL 017-4,2,1-E-7,MEL 017-4,2,MEL 017-4,2,
MEL 017-5,8MEL-1017-05,MEL 017-5,MEL 017-5,MEL 017-5,MEL 017-5,MEL 017-5,0,,MEL 017-5,2,MEL 017-5,2,
MEL 017-6,8MEL-1017-06,MEL 017-6,MEL 017-6,MEL 017-6,MEL 017-6,MEL 017-6,2,1-E-8,MEL 017-6,2,MEL 017-6,2,
MEL 017-7,8MEL-1017-07,MEL 017-7,MEL 017-7,MEL 017-7,MEL 017-7,MEL 017-7,2,1-E-9,MEL 017-7,2,MEL 017-7,2,
MEL 017-8,8MEL-1017-08,MEL 017-8,MEL 017-8,,,,,,,,,,
MEL 018-1,8MEL-1018-01,MEL 018-1,MEL 018-1,MEL 018-1,MEL 018-1,MEL 018-1,2,1-E-10,MEL 018-1,2,MEL 018-1,2,
